k,silhouette,calinski_harabasz,davies_bouldin,inertia,ami_miller,nmi_miller,min_cluster_size,median_cluster_size,max_cluster_size,n_clusters_below_threshold,reliable
8,0.1899,9670.8,2.3793,63768.0,0.4037,0.4038,6956,18101,31538,0,True
10,0.1911,9067.9,2.2848,59787.0,0.4465,0.4466,6553,14733,28150,0,True
12,0.2381,8701.5,2.0989,56336.0,0.4833,0.4835,6387,10955,27705,0,True
15,0.2233,8134.0,2.0251,52511.0,0.4995,0.4997,3878,9815,16181,0,True
20,0.2651,7689.2,1.82,46773.0,0.5252,0.5254,3171,6682,17327,0,True
25,0.2712,7280.7,1.7757,42720.0,0.5451,0.5454,2505,5764,10321,0,True
30,0.2841,6778.6,1.682,39964.0,0.5645,0.5649,1622,4520,11760,0,True
35,0.2937,6378.1,1.6802,37782.0,0.5803,0.5807,1615,3663,13427,0,True
40,0.3147,6360.7,1.5561,34848.0,0.582,0.5825,1348,3009,10453,0,True
50,0.3368,6116.6,1.5138,30813.0,0.6072,0.6077,1238,2666,6734,0,True
60,0.3168,5737.0,1.5354,28360.0,0.6057,0.6063,890,2368,5985,0,True
