query_idx,cluster,miller_family,cluster_coherence@10,precision@10_miller,mean_similarity@10
72271,5,{110},0.3,1.0,0.9913857698440551
98351,3,{510},0.7,1.0,0.9889311254024505
118779,0,{432},1.0,1.0,0.9790616273880005
108236,5,{433},1.0,1.0,0.9959762036800385
30692,4,{221},0.6,1.0,0.9828578174114228
93122,3,{210},1.0,0.6,0.9778144598007202
80051,2,{711},1.0,0.4,0.995704960823059
143719,1,{331},1.0,1.0,0.98752201795578
75687,0,{522},0.8,1.0,0.9651700913906097
94044,2,{711},1.0,1.0,0.9918570935726165
128094,7,{322},1.0,1.0,0.9988791763782501
135064,3,{521},1.0,1.0,0.9970126628875733
133841,5,{332},1.0,1.0,0.9885480165481567
140091,4,{321},1.0,1.0,0.9921950817108154
7384,5,{111},1.0,0.7,0.9845657050609589
27904,6,{711},1.0,1.0,0.9928172469139099
58295,1,{441},1.0,1.0,0.9886821448802948
27132,2,{410},0.3,0.8,0.9965597510337829
139036,7,{421},0.9,1.0,0.9944130301475524
130653,7,{211},1.0,1.0,0.9895932018756867
88236,0,{210},1.0,1.0,0.9878451883792877
133876,3,{310},1.0,1.0,0.996078473329544
16065,2,{510},0.7,1.0,0.9900101840496063
83138,1,{110},1.0,0.9,0.9917394697666169
116369,4,{421},1.0,1.0,0.9897363960742951
116182,0,{432},1.0,0.9,0.9820619761943817
111993,5,{332},1.0,0.5,0.9960352957248688
121255,7,{111},1.0,1.0,0.9908243715763092
55575,4,{522},0.9,1.0,0.9856791913509368
124015,0,{211},1.0,1.0,0.9903618454933166
118262,5,{432},1.0,1.0,0.9833702206611633
5376,5,{433},1.0,1.0,0.9905128598213195
49047,0,{531},1.0,1.0,0.993535327911377
32744,3,{410},1.0,1.0,0.9964596569538117
15331,7,{111},0.4,0.9,0.9836224257946015
136966,5,{332},1.0,1.0,0.9922233998775483
34048,2,{711},1.0,0.8,0.9972416996955872
142911,4,{431},1.0,1.0,0.9941243410110474
73240,1,{521},1.0,0.9,0.9819927632808685
55341,3,{210},1.0,1.0,0.9792524874210358
136889,0,{432},1.0,1.0,0.9787512004375458
133210,3,{310},1.0,1.0,0.9974290311336518
54136,4,{321},1.0,1.0,0.9815338313579559
23286,3,{521},1.0,1.0,0.9919902503490448
27987,4,{431},1.0,0.9,0.9952656745910644
54488,3,{521},1.0,1.0,0.9930585145950317
20735,3,{421},0.6,1.0,0.9827540576457977
113497,6,{711},1.0,1.0,0.9946821212768555
7304,1,{511},1.0,1.0,0.9724941730499268
148543,4,{110},0.8,1.0,0.9814239084720612
53392,3,{320},1.0,0.6,0.9938598155975342
38394,2,{711},1.0,0.9,0.9940744459629058
75364,0,{430},1.0,1.0,0.9778773128986359
53644,3,{521},1.0,1.0,0.9936613261699676
104882,4,{221},1.0,1.0,0.9929472744464874
5195,0,{110},1.0,1.0,0.9884974539279938
125299,3,{410},1.0,0.8,0.9960677564144135
121413,0,{421},1.0,0.4,0.9745432376861572
64708,1,{311},1.0,1.0,0.9887030780315399
105439,1,{221},0.9,1.0,0.9586122810840607
49098,0,{531},1.0,1.0,0.994133996963501
42906,3,{431},1.0,1.0,0.9960186064243317
85753,3,{530},1.0,0.6,0.9950095415115356
139327,3,{210},1.0,1.0,0.9838341355323792
86058,0,{211},1.0,1.0,0.981358015537262
55104,3,{210},1.0,1.0,0.9910050451755523
119990,2,{510},1.0,0.8,0.9949034571647644
130430,1,{521},1.0,1.0,0.9902281165122986
147883,0,{441},1.0,1.0,0.9850460648536682
2174,5,{322},1.0,0.9,0.9891054451465606
32155,7,{322},1.0,1.0,0.9939067721366882
26421,3,{521},1.0,1.0,0.9926911234855652
85891,1,{321},1.0,1.0,0.9948255300521851
57825,3,{210},0.9,1.0,0.9896984875202179
13111,1,{221},0.6,1.0,0.9755739331245422
48002,3,{210},1.0,1.0,0.9897091567516327
98478,1,{431},1.0,1.0,0.9954808712005615
80464,3,{421},0.7,0.7,0.994428813457489
126605,3,{410},1.0,0.9,0.9956707119941711
141610,4,{321},1.0,0.1,0.9752333641052247
146010,3,{530},1.0,1.0,0.99100301861763
122440,1,{411},1.0,0.9,0.984969961643219
39615,0,{211},1.0,1.0,0.9887511909008027
15170,1,{211},0.8,1.0,0.9746020197868347
14676,1,{411},1.0,1.0,0.9826425611972809
112791,7,{433},1.0,1.0,0.9909486055374146
87919,2,{711},1.0,1.0,0.9925865769386292
3645,2,{711},1.0,1.0,0.9931415259838104
77957,0,{531},1.0,0.5,0.9921143829822541
137306,3,{210},1.0,0.6,0.9946626245975494
90614,1,{331},1.0,0.9,0.9935502290725708
115817,5,{332},1.0,1.0,0.9963088631629944
114616,5,{111},0.9,0.7,0.9978624999523162
41404,7,{211},1.0,1.0,0.9979572772979737
93051,3,{530},1.0,0.8,0.9933571934700012
27448,3,{430},1.0,1.0,0.9815925478935241
104463,3,{310},1.0,1.0,0.9957929432392121
90135,1,{321},1.0,1.0,0.9957076013088226
95343,6,{100},1.0,0.7,0.9863390684127807
50081,2,{411},0.9,0.5,0.977573674917221
84880,2,{711},1.0,1.0,0.9899978756904602
109782,4,{321},1.0,1.0,0.9818889796733856
84560,1,{431},1.0,1.0,0.9970990359783173
123366,0,{211},1.0,1.0,0.9868561804294587
58641,7,{522},1.0,0.5,0.9939993977546692
69922,3,{430},1.0,1.0,0.9940984129905701
7118,3,{522},0.6,1.0,0.9800782799720764
8427,1,{311},1.0,1.0,0.971067488193512
82909,2,{521},0.6,1.0,0.9940623700618744
121575,5,{322},1.0,1.0,0.9950650811195374
69827,1,{110},1.0,1.0,0.9847131669521332
49005,3,{210},1.0,0.9,0.9752278566360474
147408,3,{430},1.0,1.0,0.9938409626483917
100250,6,{100},1.0,1.0,0.9959812164306641
29361,4,{432},1.0,1.0,0.9923237562179565
928,3,{110},1.0,1.0,0.9864412605762481
23266,3,{521},1.0,1.0,0.9932550728321076
72310,0,Vicinal/Mixed,1.0,1.0,0.9880277514457703
144727,1,{441},1.0,1.0,0.9922245681285858
55131,3,{210},1.0,1.0,0.9856898605823516
109688,6,{100},1.0,1.0,0.9977788984775543
97420,1,{221},0.4,0.0,0.9964587032794953
63414,3,{521},1.0,1.0,0.9941978693008423
59863,1,{311},1.0,0.9,0.9693383038043976
96377,5,{432},1.0,1.0,0.9854040741920471
27642,5,{332},1.0,1.0,0.9901049137115479
85234,0,{210},1.0,1.0,0.9899159073829651
8589,2,{511},1.0,0.2,0.9918079972267151
138833,4,{421},1.0,1.0,0.9962537407875061
27636,3,{521},1.0,1.0,0.9960734963417053
101159,0,{210},1.0,1.0,0.989829683303833
133720,5,{332},1.0,1.0,0.9929323315620422
46782,3,{210},1.0,1.0,0.9811314523220063
67950,3,{310},1.0,1.0,0.995729124546051
85043,1,{430},0.6,1.0,0.9930716514587402
127566,1,{311},1.0,1.0,0.983516538143158
104221,0,{531},1.0,1.0,0.9894354343414307
129398,7,{211},1.0,1.0,0.9876186132431031
145212,0,{530},1.0,0.6,0.9933942377567291
8579,7,{111},1.0,1.0,0.9959198594093323
109882,7,{421},0.8,1.0,0.9870679914951325
38028,3,{531},1.0,0.9,0.996066665649414
91642,6,{510},1.0,0.6,0.9868055880069733
122742,0,{211},1.0,1.0,0.9920971512794494
100381,4,{331},1.0,1.0,0.9905562400817871
8065,5,{332},1.0,1.0,0.989498394727707
9956,6,{100},1.0,1.0,0.9973586618900299
15385,7,{433},1.0,0.9,0.9898864030838013
105296,6,{100},1.0,1.0,0.998622864484787
134758,0,{432},1.0,0.4,0.9836388647556304
130628,3,{310},1.0,1.0,0.9960608124732971
22231,3,{510},1.0,1.0,0.9947891652584075
14065,4,{411},0.4,0.8,0.9821644365787506
121572,5,{433},0.7,0.1,0.9905828416347504
147444,3,{430},1.0,0.8,0.9920782625675202
108992,2,{510},0.6,1.0,0.9916239142417907
28727,3,{421},1.0,1.0,0.9950976073741913
14261,5,{332},1.0,1.0,0.9921787559986115
17970,5,{432},1.0,0.3,0.9949986696243286
110717,2,Vicinal/Mixed,1.0,0.1,0.994319862127304
135162,5,{332},1.0,1.0,0.9782295286655426
123450,7,{211},1.0,1.0,0.9926118075847625
9776,1,{511},1.0,0.7,0.9863532185554504
19878,4,{432},1.0,1.0,0.9788629531860351
76566,0,{430},1.0,1.0,0.9746981382369995
141733,4,{531},1.0,1.0,0.9912707388401032
34348,1,{432},1.0,0.8,0.9935079753398895
56556,3,{530},1.0,1.0,0.9813548982143402
15569,6,{100},1.0,1.0,0.9963918805122376
50570,0,{211},1.0,1.0,0.9913782358169556
70689,4,{421},1.0,1.0,0.9936712145805359
133268,3,{310},1.0,1.0,0.995592075586319
77992,1,{421},0.8,0.3,0.9942116141319275
28578,4,{321},1.0,1.0,0.9850688517093659
60503,1,{311},1.0,1.0,0.9745426535606384
72475,4,{531},1.0,1.0,0.9866828739643096
141436,4,{321},1.0,0.5,0.9851905703544617
131864,3,{310},1.0,1.0,0.9972844898700715
98960,5,{322},1.0,1.0,0.9868147373199463
78281,3,{410},1.0,1.0,0.992914366722107
135251,3,{310},1.0,1.0,0.9953613519668579
77525,1,{411},1.0,1.0,0.9912777125835419
47861,3,{431},0.8,1.0,0.9943726658821106
126648,3,{410},1.0,0.9,0.9931421399116516
43163,3,{310},1.0,1.0,0.9968728959560395
108300,5,{433},1.0,1.0,0.9923126578330994
80676,3,{510},0.8,1.0,0.9961174070835114
76449,3,{410},1.0,1.0,0.9952693462371827
35887,0,{211},1.0,0.7,0.990218049287796
29539,3,{310},1.0,1.0,0.9957712709903717
116948,5,{432},1.0,1.0,0.9837990820407867
56583,4,{321},1.0,1.0,0.9849116683006287
129543,0,{522},1.0,0.3,0.9904305696487427
67904,1,{521},1.0,1.0,0.9889448404312133
109302,5,{221},1.0,1.0,0.993085527420044
100402,1,{431},1.0,1.0,0.9880840003490448
114993,4,{421},1.0,1.0,0.983586049079895
32137,3,{410},1.0,1.0,0.9944533467292785
86571,1,{211},1.0,1.0,0.9789330065250397
88807,3,{530},1.0,0.9,0.987247496843338
80594,2,{411},1.0,0.3,0.9921467661857605
56745,3,{521},0.8,1.0,0.9923536896705627
17987,5,{432},1.0,1.0,0.9898772239685059
73148,4,{421},1.0,1.0,0.9931975901126862
27505,4,{432},1.0,1.0,0.9916232228279114
57533,3,{521},1.0,1.0,0.9966522932052613
37394,1,{321},1.0,1.0,0.9972213268280029
140966,4,{531},1.0,1.0,0.9913919866085052
143885,0,{531},1.0,1.0,0.9935740947723388
28610,4,{431},1.0,1.0,0.9932499527931213
86396,1,{321},1.0,1.0,0.9980578184127807
44437,7,{211},1.0,1.0,0.9930869102478027
1587,6,{711},1.0,1.0,0.9867089092731476
81461,3,{430},1.0,1.0,0.9946618795394897
52142,0,{431},1.0,1.0,0.9944359540939331
122564,7,{111},0.9,1.0,0.992280513048172
109754,4,{321},1.0,1.0,0.9923518896102905
49827,4,{432},1.0,0.8,0.9823288679122925
85957,2,{521},1.0,1.0,0.9899758219718933
123296,3,{510},1.0,1.0,0.9947148621082306
10432,2,{711},1.0,1.0,0.987827354669571
15482,5,{332},1.0,1.0,0.9961616456508636
108597,4,{432},1.0,1.0,0.9863786935806275
48703,0,{432},1.0,1.0,0.9924811542034149
6515,3,{522},0.6,1.0,0.9800122439861297
39130,0,{531},1.0,1.0,0.9906017243862152
143313,3,{530},1.0,0.8,0.9945176005363464
25735,3,{521},1.0,1.0,0.9937310159206391
110660,1,{521},0.8,1.0,0.9915882349014282
42898,0,{531},0.9,0.3,0.9959703385829926
6859,5,{332},1.0,1.0,0.988514643907547
16480,5,{433},1.0,1.0,0.9964409530162811
1251,7,{433},1.0,1.0,0.9898093163967132
82853,1,{321},1.0,1.0,0.9951837480068206
21864,3,{430},1.0,1.0,0.9921988189220429
63403,3,{521},1.0,0.4,0.9943499207496643
34486,3,{310},1.0,1.0,0.9948891580104828
14203,6,{510},1.0,0.8,0.9870060324668884
123069,7,{111},1.0,1.0,0.9967170655727386
140414,0,{531},0.8,1.0,0.9924821555614471
100740,5,{322},1.0,1.0,0.9940387010574341
65624,1,{441},1.0,1.0,0.9858773350715637
19424,3,{430},1.0,1.0,0.9736026644706726
83389,1,{321},0.9,1.0,0.9971307039260864
87422,3,{430},1.0,1.0,0.993383264541626
30777,5,{332},1.0,1.0,0.9972481667995453
126624,3,{410},1.0,1.0,0.9931465089321136
117064,5,{332},1.0,1.0,0.9941338479518891
21770,6,{711},1.0,0.5,0.9831084847450257
5909,5,{322},1.0,0.9,0.9890112519264221
53004,0,{211},1.0,1.0,0.983315372467041
125579,7,{433},1.0,1.0,0.9988273322582245
36423,3,{410},1.0,1.0,0.9960283577442169
111192,5,{432},0.8,0.7,0.985039907693863
44356,3,{310},1.0,1.0,0.9908526420593262
101094,0,{531},1.0,1.0,0.9883201897144318
148117,0,{441},1.0,1.0,0.9959751605987549
62143,4,{321},1.0,1.0,0.9946040391921998
67118,1,{311},1.0,1.0,0.9781948745250701
38454,4,{321},1.0,1.0,0.9887216031551361
75717,1,{411},1.0,1.0,0.9864766836166382
50799,7,{421},0.8,1.0,0.990866357088089
53231,0,{521},1.0,0.8,0.9923669934272766
8904,0,{110},1.0,1.0,0.9837677776813507
60782,3,{530},1.0,0.7,0.9879063487052917
120159,0,{211},1.0,1.0,0.9695917725563049
38237,5,{432},0.4,1.0,0.9819571316242218
110829,2,{510},1.0,0.1,0.996690446138382
149785,3,{110},0.9,1.0,0.9844307243824005
133400,0,{211},1.0,1.0,0.9893139243125916
96601,6,{100},1.0,0.3,0.9933076500892639
16289,0,{441},1.0,1.0,0.9863483726978302
128713,7,{322},1.0,1.0,0.996303379535675
14268,6,{100},1.0,1.0,0.9917827725410462
69365,0,{531},1.0,1.0,0.9959881722927093
42194,0,{531},1.0,1.0,0.9911319434642791
7515,4,{221},1.0,1.0,0.9885753691196442
137238,3,{210},1.0,0.2,0.9968674838542938
120639,2,{711},1.0,1.0,0.992088383436203
83093,3,{510},1.0,0.9,0.9918136537075043
21803,4,{431},0.4,1.0,0.9948698818683624
58241,3,{430},0.9,1.0,0.9929882943630218
143645,4,{431},1.0,1.0,0.987054842710495
129152,5,{332},1.0,0.9,0.9966376066207886
72711,0,{522},1.0,1.0,0.9728591859340667
4069,5,{322},1.0,1.0,0.9909788131713867
71004,3,{310},1.0,1.0,0.9962284862995148
128747,7,{522},1.0,1.0,0.9952029287815094
115538,4,{321},1.0,1.0,0.982138592004776
41397,1,{511},0.6,0.2,0.9948763489723206
61906,3,{430},1.0,1.0,0.987409234046936
111532,2,{711},1.0,1.0,0.9929880023002624
79631,0,{430},1.0,1.0,0.993045699596405
68311,3,{421},1.0,0.5,0.9929374635219574
34088,0,{432},1.0,0.8,0.9915252149105072
106751,4,{221},1.0,1.0,0.9925060749053956
123984,3,{510},1.0,1.0,0.9947444081306458
79019,0,{431},1.0,1.0,0.9954411029815674
8175,1,{331},1.0,1.0,0.9878660619258881
129024,1,{521},1.0,0.9,0.9846462547779083
3450,5,{322},1.0,1.0,0.9881342232227326
43695,0,{432},0.5,0.8,0.9772506356239319
12916,2,{711},1.0,1.0,0.9939704954624176
10944,5,{433},1.0,0.9,0.9951834142208099
121362,3,{510},1.0,1.0,0.9873461723327637
102772,6,{100},1.0,1.0,0.9982261657714844
125288,3,{410},1.0,0.5,0.994612330198288
143874,1,{331},1.0,1.0,0.9916985332965851
9644,1,{522},1.0,1.0,0.9781565606594086
224,7,{111},1.0,0.9,0.9850675404071808
105129,5,{433},1.0,0.2,0.9921833038330078
1158,5,{433},1.0,1.0,0.9921347618103027
41843,3,{210},1.0,1.0,0.9905027687549591
137762,4,{221},1.0,1.0,0.9790267288684845
105733,5,{433},1.0,0.6,0.9961933255195617
75095,1,{411},1.0,1.0,0.958416074514389
145267,0,{320},1.0,1.0,0.9956490993499756
101321,3,{310},1.0,1.0,0.9979488849639893
24741,7,{322},1.0,1.0,0.9939879238605499
47189,3,{431},1.0,1.0,0.9932295560836792
10043,1,{331},1.0,1.0,0.9906362175941468
94922,3,{530},1.0,1.0,0.9954854309558868
