query_idx,cluster,miller_family,cluster_coherence@10,precision@10_miller,mean_similarity@10
72271,16,{110},0.9,1.0,0.9913857698440551
98351,10,{510},1.0,1.0,0.9889311254024505
118779,17,{432},1.0,1.0,0.9790616273880005
108236,13,{433},1.0,1.0,0.9959762036800385
30692,29,{221},1.0,1.0,0.9828578174114228
93122,24,{210},1.0,0.6,0.9778144598007202
80051,10,{711},1.0,0.4,0.995704960823059
143719,3,{331},0.7,1.0,0.98752201795578
75687,20,{522},0.7,1.0,0.9651700913906097
94044,5,{711},1.0,1.0,0.9918570935726165
128094,31,{322},1.0,1.0,0.9988791763782501
135064,33,{521},1.0,1.0,0.9970126628875733
133841,13,{332},1.0,1.0,0.9885480165481567
140091,34,{321},1.0,1.0,0.9921950817108154
7384,13,{111},1.0,0.7,0.9845657050609589
27904,5,{711},0.6,1.0,0.9928172469139099
58295,22,{441},0.8,1.0,0.9886821448802948
27132,10,{410},1.0,0.8,0.9965597510337829
139036,9,{421},1.0,1.0,0.9944130301475524
130653,21,{211},1.0,1.0,0.9895932018756867
88236,25,{210},1.0,1.0,0.9878451883792877
133876,10,{310},1.0,1.0,0.996078473329544
16065,5,{510},0.4,1.0,0.9900101840496063
83138,23,{110},1.0,0.9,0.9917394697666169
116369,7,{421},1.0,1.0,0.9897363960742951
116182,17,{432},1.0,0.9,0.9820619761943817
111993,13,{332},1.0,0.5,0.9960352957248688
121255,4,{111},1.0,1.0,0.9908243715763092
55575,16,{522},1.0,1.0,0.9856791913509368
124015,26,{211},1.0,1.0,0.9903618454933166
118262,9,{432},1.0,1.0,0.9833702206611633
5376,9,{433},1.0,1.0,0.9905128598213195
49047,25,{531},1.0,1.0,0.993535327911377
32744,10,{410},1.0,1.0,0.9964596569538117
15331,4,{111},0.3,0.9,0.9836224257946015
136966,6,{332},1.0,1.0,0.9922233998775483
34048,18,{711},1.0,0.8,0.9972416996955872
142911,14,{431},1.0,1.0,0.9941243410110474
73240,2,{521},1.0,0.9,0.9819927632808685
55341,11,{210},1.0,1.0,0.9792524874210358
136889,17,{432},0.5,1.0,0.9787512004375458
133210,10,{310},1.0,1.0,0.9974290311336518
54136,34,{321},1.0,1.0,0.9815338313579559
23286,33,{521},1.0,1.0,0.9919902503490448
27987,12,{431},1.0,0.9,0.9952656745910644
54488,33,{521},1.0,1.0,0.9930585145950317
20735,1,{421},1.0,1.0,0.9827540576457977
113497,5,{711},0.5,1.0,0.9946821212768555
7304,12,{511},0.9,1.0,0.9724941730499268
148543,32,{110},0.9,1.0,0.9814239084720612
53392,25,{320},0.3,0.6,0.9938598155975342
38394,18,{711},1.0,0.9,0.9940744459629058
75364,25,{430},1.0,1.0,0.9778773128986359
53644,33,{521},1.0,1.0,0.9936613261699676
104882,14,{221},1.0,1.0,0.9929472744464874
5195,32,{110},1.0,1.0,0.9884974539279938
125299,10,{410},1.0,0.8,0.9960677564144135
121413,17,{421},1.0,0.4,0.9745432376861572
64708,2,{311},1.0,1.0,0.9887030780315399
105439,3,{221},0.9,1.0,0.9586122810840607
49098,25,{531},1.0,1.0,0.994133996963501
42906,27,{431},0.7,1.0,0.9960186064243317
85753,23,{530},0.5,0.6,0.9950095415115356
139327,24,{210},1.0,1.0,0.9838341355323792
86058,20,{211},1.0,1.0,0.981358015537262
55104,33,{210},1.0,1.0,0.9910050451755523
119990,10,{510},0.8,0.8,0.9949034571647644
130430,12,{521},0.5,1.0,0.9902281165122986
147883,0,{441},1.0,1.0,0.9850460648536682
2174,6,{322},1.0,0.9,0.9891054451465606
32155,21,{322},1.0,1.0,0.9939067721366882
26421,33,{521},1.0,1.0,0.9926911234855652
85891,22,{321},0.9,1.0,0.9948255300521851
57825,25,{210},0.8,1.0,0.9896984875202179
13111,33,{221},0.1,1.0,0.9755739331245422
48002,24,{210},1.0,1.0,0.9897091567516327
98478,3,{431},1.0,1.0,0.9954808712005615
80464,1,{421},1.0,0.7,0.994428813457489
126605,10,{410},1.0,0.9,0.9956707119941711
141610,34,{321},0.7,0.1,0.9752333641052247
146010,23,{530},0.6,1.0,0.99100301861763
122440,12,{411},1.0,0.9,0.984969961643219
39615,26,{211},1.0,1.0,0.9887511909008027
15170,22,{211},0.9,1.0,0.9746020197868347
14676,12,{411},0.9,1.0,0.9826425611972809
112791,4,{433},1.0,1.0,0.9909486055374146
87919,5,{711},1.0,1.0,0.9925865769386292
3645,18,{711},1.0,1.0,0.9931415259838104
77957,15,{531},0.7,0.5,0.9921143829822541
137306,24,{210},1.0,0.6,0.9946626245975494
90614,3,{331},0.9,0.9,0.9935502290725708
115817,9,{332},1.0,1.0,0.9963088631629944
114616,13,{111},1.0,0.7,0.9978624999523162
41404,31,{211},1.0,1.0,0.9979572772979737
93051,23,{530},0.6,0.8,0.9933571934700012
27448,24,{430},1.0,1.0,0.9815925478935241
104463,10,{310},1.0,1.0,0.9957929432392121
90135,22,{321},1.0,1.0,0.9957076013088226
95343,8,{100},0.7,0.7,0.9863390684127807
50081,18,{411},0.9,0.5,0.977573674917221
84880,18,{711},1.0,1.0,0.9899978756904602
109782,34,{321},0.8,1.0,0.9818889796733856
84560,1,{431},1.0,1.0,0.9970990359783173
123366,26,{211},1.0,1.0,0.9868561804294587
58641,16,{522},1.0,0.5,0.9939993977546692
69922,23,{430},1.0,1.0,0.9940984129905701
7118,20,{522},0.9,1.0,0.9800782799720764
8427,2,{311},1.0,1.0,0.971067488193512
82909,3,{521},1.0,1.0,0.9940623700618744
121575,9,{322},1.0,1.0,0.9950650811195374
69827,22,{110},0.5,1.0,0.9847131669521332
49005,24,{210},1.0,0.9,0.9752278566360474
147408,23,{430},1.0,1.0,0.9938409626483917
