filename,material,img_id,source,x,y,std,mean,bottom_mean,is_trash,cluster
1-45degree_12_x0_y0.png,1-45degree,12,1-45degree_12,0,0,69.94,88.41,102.37,False,
1-45degree_12_x0_y256.png,1-45degree,12,1-45degree_12,0,256,49.09,118.78,119.47,False,
1-45degree_12_x256_y0.png,1-45degree,12,1-45degree_12,256,0,42.6,125.59,111.05,False,
1-45degree_12_x256_y256.png,1-45degree,12,1-45degree_12,256,256,52.69,64.26,39.69,False,
1-45degree_12_x512_y0.png,1-45degree,12,1-45degree_12,512,0,65.28,75.74,105.54,False,
1-45degree_12_x512_y256.png,1-45degree,12,1-45degree_12,512,256,45.13,110.31,114.35,False,
1-45degree_12_x768_y0.png,1-45degree,12,1-45degree_12,768,0,38.25,80.12,65.57,False,
1-45degree_12_x768_y256.png,1-45degree,12,1-45degree_12,768,256,49.46,78.18,74.22,False,
1-45degree_13_x0_y0.png,1-45degree,13,1-45degree_13,0,0,70.78,87.6,99.43,False,
1-45degree_13_x0_y256.png,1-45degree,13,1-45degree_13,0,256,70.02,93.42,120.04,False,
1-45degree_13_x256_y0.png,1-45degree,13,1-45degree_13,256,0,57.1,113.12,49.3,False,
1-45degree_13_x256_y256.png,1-45degree,13,1-45degree_13,256,256,54.18,56.75,40.1,False,
1-45degree_13_x512_y0.png,1-45degree,13,1-45degree_13,512,0,72.79,71.24,107.01,False,
1-45degree_13_x512_y256.png,1-45degree,13,1-45degree_13,512,256,47.71,109.15,114.35,False,
1-45degree_13_x768_y0.png,1-45degree,13,1-45degree_13,768,0,39.26,80.43,66.08,False,
1-45degree_13_x768_y256.png,1-45degree,13,1-45degree_13,768,256,49.46,78.18,74.22,False,
1-45degree_14_x0_y0.png,1-45degree,14,1-45degree_14,0,0,50.55,138.51,144.89,False,
1-45degree_14_x0_y256.png,1-45degree,14,1-45degree_14,0,256,43.33,135.55,141.54,False,
1-45degree_14_x256_y0.png,1-45degree,14,1-45degree_14,256,0,49.18,106.45,117.71,False,
1-45degree_14_x256_y256.png,1-45degree,14,1-45degree_14,256,256,35.6,134.08,114.68,False,
1-45degree_14_x512_y0.png,1-45degree,14,1-45degree_14,512,0,35.27,112.85,140.68,False,
