scope,metric,mean,ci_lo,ci_hi,n_tiles
overall,precision@K_material,0.1217,0.119,0.1242,18859
overall,precision@K_cross_scale,0.1089,0.1065,0.1112,18859
1-45degree,precision@K_material,0.1759,0.1714,0.1807,7395
1-45degree,precision@K_cross_scale,0.1662,0.1619,0.1706,7395
1-C1,precision@K_material,0.0246,0.0214,0.0283,824
1-C1,precision@K_cross_scale,0.0238,0.0204,0.0273,824
1-C1-21degree,precision@K_material,0.1372,0.1262,0.1487,799
1-C1-21degree,precision@K_cross_scale,0.1368,0.1259,0.1483,799
2-C2,precision@K_material,0.0034,0.0017,0.0053,584
2-C2,precision@K_cross_scale,0.0034,0.0017,0.0053,584
3-D5,precision@K_material,0.0141,0.0114,0.017,983
3-D5,precision@K_cross_scale,0.0125,0.0099,0.0152,983
3-D5-30degree,precision@K_material,0.0213,0.0135,0.0304,230
3-D5-30degree,precision@K_cross_scale,0.0143,0.0083,0.0213,230
7-E2,precision@K_material,0.0057,0.0039,0.0082,752
7-E2,precision@K_cross_scale,0.0057,0.0039,0.0082,752
7-E2-30degree,precision@K_material,0.0165,0.0103,0.0232,224
7-E2-30degree,precision@K_cross_scale,0.0018,0.0,0.004,224
7-E2-30degree-base,precision@K_material,0.1337,0.1267,0.141,2516
7-E2-30degree-base,precision@K_cross_scale,0.1334,0.1265,0.1407,2516
8,precision@K_material,0.1264,0.1173,0.1362,1552
8,precision@K_cross_scale,0.0982,0.0912,0.1057,1552
8-30degree,precision@K_material,0.1487,0.1377,0.1602,1128
8-30degree,precision@K_cross_scale,0.1276,0.117,0.139,1128
9,precision@K_material,0.094,0.0851,0.104,1432
9,precision@K_cross_scale,0.0278,0.0243,0.0311,1432
9-30degree,precision@K_material,0.0,0.0,0.0,200
9-30degree,precision@K_cross_scale,0.0,0.0,0.0,200
9-30degree-base,precision@K_material,0.005,0.0021,0.0083,240
9-30degree-base,precision@K_cross_scale,0.0046,0.0021,0.0079,240
