scope,metric,mean,ci_lo,ci_hi,n_tiles
overall,precision@K_material,0.5068,0.5009,0.5137,18859
overall,precision@K_cross_scale,0.4138,0.4078,0.4202,18859
1-45degree,precision@K_material,0.8862,0.8802,0.8929,7395
1-45degree,precision@K_cross_scale,0.7897,0.7819,0.7971,7395
1-C1,precision@K_material,0.0348,0.0275,0.0425,824
1-C1,precision@K_cross_scale,0.0089,0.0059,0.012,824
1-C1-21degree,precision@K_material,0.3897,0.367,0.4144,799
1-C1-21degree,precision@K_cross_scale,0.3845,0.3612,0.4081,799
2-C2,precision@K_material,0.0103,0.0062,0.0147,584
2-C2,precision@K_cross_scale,0.0058,0.0033,0.0091,584
3-D5,precision@K_material,0.1157,0.101,0.1314,983
3-D5,precision@K_cross_scale,0.004,0.0023,0.0059,983
3-D5-30degree,precision@K_material,0.0661,0.0461,0.087,230
3-D5-30degree,precision@K_cross_scale,0.0496,0.0343,0.0661,230
7-E2,precision@K_material,0.0585,0.0499,0.0677,752
7-E2,precision@K_cross_scale,0.0585,0.0499,0.0677,752
7-E2-30degree,precision@K_material,0.0473,0.0344,0.0607,224
7-E2-30degree,precision@K_cross_scale,0.0094,0.0049,0.0152,224
7-E2-30degree-base,precision@K_material,0.1386,0.1302,0.1475,2516
7-E2-30degree-base,precision@K_cross_scale,0.1374,0.1291,0.1463,2516
8,precision@K_material,0.4528,0.4316,0.4748,1552
8,precision@K_cross_scale,0.1943,0.1788,0.2104,1552
8-30degree,precision@K_material,0.7309,0.7131,0.7512,1128
8-30degree,precision@K_cross_scale,0.6668,0.6463,0.6905,1128
9,precision@K_material,0.3692,0.3478,0.3893,1432
9,precision@K_cross_scale,0.0805,0.0689,0.0923,1432
9-30degree,precision@K_material,0.0195,0.012,0.0285,200
9-30degree,precision@K_cross_scale,0.0195,0.012,0.0285,200
9-30degree-base,precision@K_material,0.2763,0.2433,0.3075,240
9-30degree-base,precision@K_cross_scale,0.2763,0.2433,0.3075,240
