scope,metric,mean,ci_lo,ci_hi,n_tiles
overall,precision@K_material,0.5956,0.5895,0.6023,18859
overall,precision@K_cross_scale,0.4564,0.4502,0.4631,18859
1-45degree,precision@K_material,0.9383,0.9342,0.9425,7395
1-45degree,precision@K_cross_scale,0.8127,0.8054,0.8197,7395
1-C1,precision@K_material,0.0518,0.0402,0.064,824
1-C1,precision@K_cross_scale,0.0028,0.0012,0.005,824
1-C1-21degree,precision@K_material,0.5751,0.5452,0.604,799
1-C1-21degree,precision@K_cross_scale,0.568,0.5378,0.5971,799
2-C2,precision@K_material,0.0135,0.0087,0.0193,584
2-C2,precision@K_cross_scale,0.0099,0.0062,0.0144,584
3-D5,precision@K_material,0.5337,0.5057,0.5638,983
3-D5,precision@K_cross_scale,0.0066,0.0043,0.0092,983
3-D5-30degree,precision@K_material,0.0822,0.0609,0.1052,230
3-D5-30degree,precision@K_cross_scale,0.057,0.0413,0.0752,230
7-E2,precision@K_material,0.0472,0.0391,0.0557,752
7-E2,precision@K_cross_scale,0.0472,0.0391,0.0557,752
7-E2-30degree,precision@K_material,0.0496,0.0335,0.0661,224
7-E2-30degree,precision@K_cross_scale,0.0138,0.0067,0.0228,224
7-E2-30degree-base,precision@K_material,0.243,0.2295,0.2564,2516
7-E2-30degree-base,precision@K_cross_scale,0.2411,0.2278,0.2546,2516
8,precision@K_material,0.5189,0.4975,0.5422,1552
8,precision@K_cross_scale,0.2274,0.2101,0.2447,1552
8-30degree,precision@K_material,0.9788,0.9729,0.9847,1128
8-30degree,precision@K_cross_scale,0.8914,0.8758,0.9063,1128
9,precision@K_material,0.4083,0.3839,0.4309,1432
9,precision@K_cross_scale,0.0251,0.0192,0.0316,1432
9-30degree,precision@K_material,0.0235,0.015,0.033,200
9-30degree,precision@K_cross_scale,0.0235,0.015,0.033,200
9-30degree-base,precision@K_material,0.35,0.3092,0.3896,240
9-30degree-base,precision@K_cross_scale,0.2975,0.2612,0.3338,240
