scope,metric,mean,ci_lo,ci_hi,n_tiles,model
overall,precision@K_material,0.1217,0.119,0.1242,18859,flatten32
overall,precision@K_cross_scale,0.1089,0.1065,0.1112,18859,flatten32
1-45degree,precision@K_material,0.1759,0.1714,0.1807,7395,flatten32
1-45degree,precision@K_cross_scale,0.1662,0.1619,0.1706,7395,flatten32
1-C1,precision@K_material,0.0246,0.0214,0.0283,824,flatten32
1-C1,precision@K_cross_scale,0.0238,0.0204,0.0273,824,flatten32
1-C1-21degree,precision@K_material,0.1372,0.1262,0.1487,799,flatten32
1-C1-21degree,precision@K_cross_scale,0.1368,0.1259,0.1483,799,flatten32
2-C2,precision@K_material,0.0034,0.0017,0.0053,584,flatten32
2-C2,precision@K_cross_scale,0.0034,0.0017,0.0053,584,flatten32
3-D5,precision@K_material,0.0141,0.0114,0.017,983,flatten32
3-D5,precision@K_cross_scale,0.0125,0.0099,0.0152,983,flatten32
3-D5-30degree,precision@K_material,0.0213,0.0135,0.0304,230,flatten32
3-D5-30degree,precision@K_cross_scale,0.0143,0.0083,0.0213,230,flatten32
7-E2,precision@K_material,0.0057,0.0039,0.0082,752,flatten32
7-E2,precision@K_cross_scale,0.0057,0.0039,0.0082,752,flatten32
7-E2-30degree,precision@K_material,0.0165,0.0103,0.0232,224,flatten32
7-E2-30degree,precision@K_cross_scale,0.0018,0.0,0.004,224,flatten32
7-E2-30degree-base,precision@K_material,0.1337,0.1267,0.141,2516,flatten32
7-E2-30degree-base,precision@K_cross_scale,0.1334,0.1265,0.1407,2516,flatten32
8,precision@K_material,0.1264,0.1173,0.1362,1552,flatten32
8,precision@K_cross_scale,0.0982,0.0912,0.1057,1552,flatten32
8-30degree,precision@K_material,0.1487,0.1377,0.1602,1128,flatten32
8-30degree,precision@K_cross_scale,0.1276,0.117,0.139,1128,flatten32
9,precision@K_material,0.094,0.0851,0.104,1432,flatten32
9,precision@K_cross_scale,0.0278,0.0243,0.0311,1432,flatten32
9-30degree,precision@K_material,0.0,0.0,0.0,200,flatten32
9-30degree,precision@K_cross_scale,0.0,0.0,0.0,200,flatten32
9-30degree-base,precision@K_material,0.005,0.0021,0.0083,240,flatten32
9-30degree-base,precision@K_cross_scale,0.0046,0.0021,0.0079,240,flatten32
overall,precision@K_material,0.5068,0.5009,0.5137,18859,imagenet_resnet50
overall,precision@K_cross_scale,0.4138,0.4078,0.4202,18859,imagenet_resnet50
1-45degree,precision@K_material,0.8862,0.8802,0.8929,7395,imagenet_resnet50
1-45degree,precision@K_cross_scale,0.7897,0.7819,0.7971,7395,imagenet_resnet50
1-C1,precision@K_material,0.0348,0.0275,0.0425,824,imagenet_resnet50
1-C1,precision@K_cross_scale,0.0089,0.0059,0.012,824,imagenet_resnet50
1-C1-21degree,precision@K_material,0.3897,0.367,0.4144,799,imagenet_resnet50
1-C1-21degree,precision@K_cross_scale,0.3845,0.3612,0.4081,799,imagenet_resnet50
2-C2,precision@K_material,0.0103,0.0062,0.0147,584,imagenet_resnet50
2-C2,precision@K_cross_scale,0.0058,0.0033,0.0091,584,imagenet_resnet50
3-D5,precision@K_material,0.1157,0.101,0.1314,983,imagenet_resnet50
3-D5,precision@K_cross_scale,0.004,0.0023,0.0059,983,imagenet_resnet50
3-D5-30degree,precision@K_material,0.0661,0.0461,0.087,230,imagenet_resnet50
3-D5-30degree,precision@K_cross_scale,0.0496,0.0343,0.0661,230,imagenet_resnet50
7-E2,precision@K_material,0.0585,0.0499,0.0677,752,imagenet_resnet50
7-E2,precision@K_cross_scale,0.0585,0.0499,0.0677,752,imagenet_resnet50
7-E2-30degree,precision@K_material,0.0473,0.0344,0.0607,224,imagenet_resnet50
7-E2-30degree,precision@K_cross_scale,0.0094,0.0049,0.0152,224,imagenet_resnet50
7-E2-30degree-base,precision@K_material,0.1386,0.1302,0.1475,2516,imagenet_resnet50
7-E2-30degree-base,precision@K_cross_scale,0.1374,0.1291,0.1463,2516,imagenet_resnet50
8,precision@K_material,0.4528,0.4316,0.4748,1552,imagenet_resnet50
8,precision@K_cross_scale,0.1943,0.1788,0.2104,1552,imagenet_resnet50
8-30degree,precision@K_material,0.7309,0.7131,0.7512,1128,imagenet_resnet50
8-30degree,precision@K_cross_scale,0.6668,0.6463,0.6905,1128,imagenet_resnet50
9,precision@K_material,0.3692,0.3478,0.3893,1432,imagenet_resnet50
9,precision@K_cross_scale,0.0805,0.0689,0.0923,1432,imagenet_resnet50
9-30degree,precision@K_material,0.0195,0.012,0.0285,200,imagenet_resnet50
9-30degree,precision@K_cross_scale,0.0195,0.012,0.0285,200,imagenet_resnet50
9-30degree-base,precision@K_material,0.2763,0.2433,0.3075,240,imagenet_resnet50
9-30degree-base,precision@K_cross_scale,0.2763,0.2433,0.3075,240,imagenet_resnet50
overall,precision@K_material,0.5956,0.5895,0.6023,18859,simclr_finetuned
overall,precision@K_cross_scale,0.4564,0.4502,0.4631,18859,simclr_finetuned
1-45degree,precision@K_material,0.9383,0.9342,0.9425,7395,simclr_finetuned
1-45degree,precision@K_cross_scale,0.8127,0.8054,0.8197,7395,simclr_finetuned
1-C1,precision@K_material,0.0518,0.0402,0.064,824,simclr_finetuned
1-C1,precision@K_cross_scale,0.0028,0.0012,0.005,824,simclr_finetuned
1-C1-21degree,precision@K_material,0.5751,0.5452,0.604,799,simclr_finetuned
1-C1-21degree,precision@K_cross_scale,0.568,0.5378,0.5971,799,simclr_finetuned
2-C2,precision@K_material,0.0135,0.0087,0.0193,584,simclr_finetuned
2-C2,precision@K_cross_scale,0.0099,0.0062,0.0144,584,simclr_finetuned
3-D5,precision@K_material,0.5337,0.5057,0.5638,983,simclr_finetuned
3-D5,precision@K_cross_scale,0.0066,0.0043,0.0092,983,simclr_finetuned
3-D5-30degree,precision@K_material,0.0822,0.0609,0.1052,230,simclr_finetuned
3-D5-30degree,precision@K_cross_scale,0.057,0.0413,0.0752,230,simclr_finetuned
7-E2,precision@K_material,0.0472,0.0391,0.0557,752,simclr_finetuned
7-E2,precision@K_cross_scale,0.0472,0.0391,0.0557,752,simclr_finetuned
7-E2-30degree,precision@K_material,0.0496,0.0335,0.0661,224,simclr_finetuned
7-E2-30degree,precision@K_cross_scale,0.0138,0.0067,0.0228,224,simclr_finetuned
7-E2-30degree-base,precision@K_material,0.243,0.2295,0.2564,2516,simclr_finetuned
7-E2-30degree-base,precision@K_cross_scale,0.2411,0.2278,0.2546,2516,simclr_finetuned
8,precision@K_material,0.5189,0.4975,0.5422,1552,simclr_finetuned
8,precision@K_cross_scale,0.2274,0.2101,0.2447,1552,simclr_finetuned
8-30degree,precision@K_material,0.9788,0.9729,0.9847,1128,simclr_finetuned
8-30degree,precision@K_cross_scale,0.8914,0.8758,0.9063,1128,simclr_finetuned
9,precision@K_material,0.4083,0.3839,0.4309,1432,simclr_finetuned
9,precision@K_cross_scale,0.0251,0.0192,0.0316,1432,simclr_finetuned
9-30degree,precision@K_material,0.0235,0.015,0.033,200,simclr_finetuned
9-30degree,precision@K_cross_scale,0.0235,0.015,0.033,200,simclr_finetuned
9-30degree-base,precision@K_material,0.35,0.3092,0.3896,240,simclr_finetuned
9-30degree-base,precision@K_cross_scale,0.2975,0.2612,0.3338,240,simclr_finetuned
